tags,id,plylst_title,songs,like_cnt,updt_date,prompt
"['인기', '과거', '회상', '추억', '명곡', '가요톱텐', '향수', '1990년대', '에센셜', '발라드']",127680,명곡만 쏙! 90년대 발라드,"[543204, 264162, 40822, 703916, 300944, 476918, 84907, 686331, 119400, 191089, 113326, 53877, 11284, 695842, 534212, 140253, 376124, 486877, 291038, 500821, 38719, 109679, 117917, 352313, 449767, 675074, 346897, 109632, 140836, 543145, 320607, 188415, 4726, 314344, 273980, 219025, 305275, 580074, 539108, 374850, 68874, 590157, 94665, 387871, 336577, 179746, 614240, 152180, 143343, 84748]",858,2019-10-21 12:23:24,인기 과거 회상 추억 명곡 가요톱텐 향수 1990년대 에센셜 발라드
"['여름', '매장음악', '카페', '드라이브', '트로피컬하우스', '시원한', '기분전환', '산책', '일렉트로닉']",9194,가볍게 듣기 좋은 해외 일렉트로닉 & 트로피컬 하우스,"[623549, 54958, 96873, 269828, 57664, 214503, 559607, 24087, 258139, 648583, 146015, 191915, 353409, 684702, 581799, 43627, 279125, 481635, 36782, 472124, 579817, 234047, 277432, 198709, 82501, 246534, 456097, 546423, 138180, 587938, 15124, 352212, 556675, 640699, 431396, 59596, 47409]",627,2019-07-01 09:30:03,여름 매장음악 카페 드라이브 트로피컬하우스 시원한 기분전환 산책 일렉트로닉
"['연말', '취향저격', '드라이브', 'Pop', '기분전환', '2018', '트렌디', '신나는']",8925,2018 HOT TRENDY POP: 놓쳐선 안될 '팝' TOP 100,"[94081, 519040, 447927, 684257, 563131, 277445, 237868, 376936, 427464, 557883, 150938, 4322, 288951, 208608, 691545, 263213, 380357, 649876, 512922, 40380, 493986, 191173, 55610, 155427, 696168, 468500, 153130, 518636, 143315, 507711, 135392, 81545, 150325, 234084, 532636, 516466, 675042, 123699, 292197, 653525, 386717, 121600, 567541, 403157, 136298, 677040, 385628, 151988, 136376, 673107, 381554, 541764, 339572, 457254, 325082, 117622, 635450, 649581, 217291, 111136, 22527, 707676, 174990, 537017, 97174, 417725, 619396, 520843, 520183, 129878, 444147, 90630, 532911, 91143, 425797, 618848, 118745, 213289, 623633, 114547, 374620, 274095, 185196, 556463, 309774, 503777, 345335, 513718, 153108, 455757]",1684,2019-09-17 11:36:43,연말 취향저격 드라이브 Pop 기분전환 2018 트렌디 신나는
"['미녀와야수', '라이온킹', '렛잇고', '추억', '애니메이션', '알라딘', '겨울왕국', '디즈니', '인어공주', '라푼젤']",3136,우리 모두가 사랑하는 디즈니 명곡,"[413459, 667791, 574308, 24386, 373313, 554509, 6882, 584108, 20420, 352807, 249378, 525935, 348201, 572824, 527968, 108612, 217622, 307938, 498401, 364145, 129049, 379162, 457812, 371709, 642562, 119401, 439161, 54484, 140837, 209684, 331390, 616144, 567076, 151421, 10690, 128726, 669767, 410166, 419465, 70465, 104156, 397765, 90774, 26564, 330150, 447762, 275006, 167375, 258135, 623047, 367826, 209622, 207912, 297376, 394556, 538409, 156841, 396028, 139249, 143017, 528647, 421833, 181513, 670587, 703323, 638488, 422438, 592526]",6182,2019-11-17 16:51:44,미녀와야수 라이온킹 렛잇고 추억 애니메이션 알라딘 겨울왕국 디즈니 인어공주 라푼젤
"['감성', '밤', '새벽', '생각정리', '가사', '휴식', '기분전환', '스트레스', '인생곡', '인디']",147092,성장통을 겪고 있는 당신에게,"[109748, 351082, 37937, 118049, 49772, 100584, 290171, 415394, 137516, 630395, 51779, 630728, 544584, 152475, 173363, 507888, 495546, 491489, 77089, 257497, 327382, 416734, 292480, 281057, 702223, 35361, 121106, 334240, 685792, 524034, 496609, 286934, 333652, 338711, 444293, 101805, 567336, 346570, 554389, 331958, 47608, 660492, 619814, 214584, 152131, 536339, 196107, 665349, 92755, 517980, 41310, 689598, 571122, 567520, 356432, 224, 432582, 112984, 373461, 459866, 500593, 599234, 567078, 312170, 124485, 610231, 90997, 479565, 688472, 233641, 174225, 700207, 440901, 458258, 619536, 357510, 114649, 87748, 670915, 112927, 18603, 473514, 425946]",969,2019-08-16 02:36:16,감성 밤 새벽 생각정리 가사 휴식 기분전환 스트레스 인생곡 인디
"['휴식', '매장음악', '가을', '카페', '매장', '드라이브', '재즈', '집', '감성', '기분전환']",99243,가을과 잘 어울리는 고급스러운 느낌의 재즈,"[20303, 74567, 667990, 310600, 24762, 185244, 598172, 316627, 267128, 211091, 430303, 424324, 325179, 60246, 158767, 212588, 7716, 447044, 12364, 278450, 101682, 267151, 283013, 611839, 276977, 364133, 303592, 520695, 266947, 170579, 478734]",882,2019-10-07 06:00:23,휴식 매장음악 가을 카페 매장 드라이브 재즈 집 감성 기분전환
"['힙합', '카페', '로맨틱', '달달한', 'RnB', '연인', '사랑', '연애', '설렘', '데이트']",56568,Day 1,"[603681, 641691, 625247, 114228, 419909, 104079, 135499, 100331, 92880, 138069, 703426, 179114, 143345, 291705, 602667, 45301, 279922, 477989, 647312, 167067, 695952, 156700, 137362, 552871, 484797, 140148, 355721, 282750, 64692, 395900, 628572, 495758, 199048, 232424, 414286, 543123, 490201, 701185, 624540, 398223, 675367, 482, 98804, 208124, 628434, 492922, 471984]",659,2019-11-01 00:24:07,힙합 카페 로맨틱 달달한 RnB 연인 사랑 연애 설렘 데이트
"['여유로운', 'Jazz', '추억', '찰리브라운', '연주', 'virtuoso', '1960_70', '피아노', '피너츠', '따뜻한']",74294,"유려하고 깔끔한 선율, 피아니스트 빈스 과랄디","[311020, 44432, 183226, 322920, 212832, 98293, 683169, 114508, 189485, 91733, 420340, 294175, 513309, 80723, 296966, 441559, 119989, 362092, 306408, 625423, 642599, 706369, 65280, 164985, 494734, 429746, 376546, 530725, 198172, 23477]",1643,2019-04-15 14:49:54,여유로운 Jazz 추억 찰리브라운 연주 virtuoso 1960_70 피아노 피너츠 따뜻한
"['저녁', '여름밤', '로맨틱한', 'RnB', '연인', '분위기', '노을', '라운지', '사랑', '낭만적인']",76736,연인과 함께 듣는 낭만적인 국내 R&B,"[541064, 353403, 644771, 118871, 26083, 649419, 251914, 361034, 374799, 419609, 621771, 693628, 75971, 92415, 562230, 131312, 514737, 508789, 257061, 13519, 230868, 608647, 313118, 486145, 101468, 349398, 504230, 327107, 446135, 563702, 222969]",973,2019-12-12 01:22:23,저녁 여름밤 로맨틱한 RnB 연인 분위기 노을 라운지 사랑 낭만적인
"['휴식', '매장음악', '카페', '매장', '재즈', '여행', '상쾌한', '기분전환', 'Lofi', '재즈힙합']",114288,어디론가 떠나고 싶은 날 듣고 싶은 상쾌한 재즈힙합/lofi,"[380324, 1965, 310200, 54561, 332196, 498641, 144179, 433119, 199775, 651497, 564039, 479765, 692523, 151802, 134071, 210226, 225406, 391788, 224670, 131672, 334786, 530222, 143114, 487105, 603502, 330080, 439317, 284155, 419971, 345167, 533672, 48289, 195805, 574999, 81071, 151937, 312050, 403073, 302622, 511997, 644376, 167357, 463915, 330924, 70526, 53181, 507202, 365761, 85267, 179730, 315877, 66384, 196211, 293712, 651852, 579254, 379868, 158054]",1875,2019-09-02 06:00:26,휴식 매장음악 카페 매장 재즈 여행 상쾌한 기분전환 Lofi 재즈힙합
"['회상', '댄스', '추억', '명곡', '가요', '1990년대', '10대', '아이돌']",24564,명곡만 쏙! 90년대 댄스,"[184321, 536850, 430005, 705102, 528265, 464542, 385988, 644913, 89620, 541397, 315611, 175293, 583375, 501114, 486391, 33244, 284179, 348919, 327354, 231154, 701202, 83899, 444578, 672639, 664555, 505848, 419584, 249343, 265301, 564916, 426504, 234852, 55035, 389336, 436561, 121770, 127681, 645103, 510882, 328858, 97702, 340108, 14156, 144617, 491356, 84285, 672208, 355062, 622828, 97573]",724,2019-11-08 17:57:57,회상 댄스 추억 명곡 가요 1990년대 10대 아이돌
"['주말', '취향저격', '드라이브', '기분UP', '상쾌한', '기분전환', '외출', '내적댄스', '팝', '일렉']",74558,상쾌하게 뿅뿅 기분 UP되는 팝! 챙기고 외출하자.,"[503657, 21418, 280121, 172547, 27922, 53501, 310187, 328966, 310193, 284337, 507515, 497458, 129878, 371025, 387565, 394603, 91143, 345489, 20650, 671, 692875, 409120, 333788, 447286, 652963, 706185, 693024, 225957, 102170, 606390, 497314, 517317, 252873, 569028, 303380, 658544, 429751, 510651, 196041, 645467, 606619, 407252, 605255, 627817, 219914, 368125, 224708, 250713, 232639, 336129, 402805, 705830, 327907, 577980, 194328, 212385, 232882, 133163]",1207,2019-07-24 13:33:42,주말 취향저격 드라이브 기분UP 상쾌한 기분전환 외출 내적댄스 팝 일렉
"['따스한', '고전', '스탠더드', '추억', '명곡', '성탄절', '크리스마스', '캐롤', 'Carol', 'Christmas']",46127,홀리데이 시즌을 포근하게 만들어 줄 클래식 캐럴 컬렉션,"[481609, 11539, 661657, 60117, 562754, 372418, 224680, 175667, 646467, 649787, 192230, 694012, 80723, 692333, 684541, 445408, 693334, 393765, 325911, 213450, 7848, 321283, 605625, 345718, 613265, 232430, 657113, 628738, 361330, 244989, 290483, 423516, 686913]",1072,2019-12-05 15:29:09,따스한 고전 스탠더드 추억 명곡 성탄절 크리스마스 캐롤 Carol Christmas
"['분위기', '매장음악', '밤', '카페', '새벽', '연인', '매장', '드라이브', '기분전환', '팝']",36643,야간 드라이브할 때 베이스 빵빵한 스피커로 듣고 싶은 섹시한 팝,"[310116, 48233, 495814, 677342, 141532, 346207, 80782, 2748, 615392, 477243, 150903, 282705, 652086, 18599, 168928, 636726, 469447, 506756, 359753, 530853, 387115, 9538, 199965, 5676, 701569, 618232, 447615, 595781, 373903, 29381, 689947, 55991, 608999, 466258, 135506, 415389, 603866, 257152, 530794, 82736, 159672, 521316, 288842, 660042, 42115, 252087, 414286, 583390, 142231, 282742, 217905, 76084, 511657, 675002, 607501, 545103, 151033, 276062, 192661, 213289, 641136, 233461, 320915, 537166, 299935, 473867, 509815, 305558, 705481, 403996, 526744, 400861, 189373, 192890, 301442, 511772, 478335, 402675, 112752, 476415, 636733, 313957, 352933, 146669, 700015, 31605, 561961, 262876]",3270,2019-09-01 06:00:21,분위기 매장음악 밤 카페 새벽 연인 매장 드라이브 기분전환 팝
"['동요자장가', '어린이집', '태교', '피아노', '명품동요', '동요모음', '유치원', '자장가', '동요', '감성동요']",102711,동요로 듣는 자장가 (잔잔한 동요 모음),"[687037, 368330, 576909, 155045, 475235, 451052, 348888, 578644, 338899, 298906, 74409, 372556, 354097, 476618, 315692, 571401, 526793, 100912, 120654, 163011, 322291, 498808, 525174, 22426, 38073, 269822, 27374, 407559, 316964, 365853, 421084, 145862, 609536, 626306, 357517, 569921, 163629, 395095, 123484, 396297, 279957, 95301, 570777, 112401, 371865, 477625, 305856, 189934, 419952, 664899, 678813, 133201, 108411, 595085, 697440, 581870, 49733, 325545, 508456, 234828, 561246, 312787, 523734, 662271, 197383, 479008, 303121, 149750, 526092, 372284, 171979, 644037, 330063, 90959, 1934, 282355, 611607, 218854, 545413, 629201, 490594, 186367, 156657, 439754, 687984, 647434, 332657, 487620, 431500, 161485, 636950, 81550, 399559, 236236, 707566, 217030, 397600, 624293, 124110, 683103, 412460, 164213, 59, 535404, 552532, 218654, 274224, 637943, 503414, 206902, 419286, 561457, 84478, 286138, 540559, 297230, 587049, 9728, 513201, 167673, 130859, 253777, 482881, 289308, 570807, 553910, 554466, 94243, 248965, 625182, 316299, 35871, 642192, 462849, 161504, 572502, 401826, 222607, 173188, 338167, 140449, 347037, 574566, 60464, 388020, 271413, 459318, 58668, 197160, 10866, 447533, 383844]",1248,2019-06-08 19:54:22,동요자장가 어린이집 태교 피아노 명품동요 동요모음 유치원 자장가 동요 감성동요
"['Chill', '감성', '밤', '편안한', 'JAYJE', '아날로그', 'Lofi', '로파이', '공부할때']",145162,24/7 Lo-Fi HIPHOP & CHILL MUSIC,"[213331, 47464, 425225, 270487, 256700, 393689, 189542, 641796, 86572, 379868, 109357, 608836, 139913, 702791, 552394, 102166, 17592, 533081, 524661, 92738, 483614, 564460, 595896, 519199, 596005, 101301, 504469, 348421, 613686, 33390, 677520, 682439, 298327, 612611, 292192, 212943, 681622, 476018, 193465, 264693, 901, 190573, 559864, 420499, 614250, 450870, 66285, 191943, 25673, 144117, 19043, 569851, 347810, 508519, 646340, 543408, 134071, 210226, 59301, 173886, 614185, 507252, 242704, 697977, 362073, 148086, 413156, 575147, 195276, 395487, 106913, 459337, 118839, 448851, 11301, 176440, 624175, 606811, 35030, 168784, 226094, 161401, 336216, 68019, 427098, 22884, 131672, 89532, 627076, 342224, 280636, 605327, 408302, 85088, 198306, 284075, 116288, 594654, 453093, 623246, 500540, 621098, 160064, 135133, 537268, 93946, 62483, 98279, 286931, 685617, 70721, 266741, 692979, 674021, 10, 419257, 33074, 634573, 272193, 103307, 620912, 530222, 166869, 436066, 348581, 181624, 437344, 53429, 460564, 422419, 93921, 386180, 401141, 668020, 419430, 77228, 691910, 16689, 123414, 515635, 190542, 407415, 593443, 62864, 388980, 569398, 518771, 264397, 186394, 697175, 220578, 247655, 553976, 287683, 383736, 138496, 356012, 418409, 704929, 183157, 438877, 126329, 568698, 145473, 455888, 599264, 247081, 213127, 294508, 301406, 81124, 62075, 216059, 233126, 412224, 104595, 97292, 116293, 89446, 73828, 141888, 522074, 463768, 158290, 20012, 367593, 362911, 71591, 665642, 547019, 623945, 276563, 21960, 366142, 145524, 89525, 427352, 102221, 416906, 6833]",4674,2019-12-04 11:41:07,Chill 감성 밤 편안한 JAYJE 아날로그 Lofi 로파이 공부할때
"['해외', '잔잔한', 'OST', '영화', '영화OST', '노랫말을듣는다', '영화음악', 'ralalra', '감성적인', '영화bgm']",54975,추천 ♬ 선곡 따라 보는 영화 ♪ No.01,"[186956, 676344, 125437, 6897, 205757, 207558, 4080, 90675, 48901, 406035, 104199, 238120, 433943, 449175, 105112, 573911, 613740, 430312, 430222, 70624, 383918, 598734, 572797, 244869, 560234, 613230, 363773, 520822, 11657, 543046, 407370, 143151, 166600, 533646, 45008, 272372, 6181, 36457, 63723, 13615, 26619, 38650, 126699, 185010, 12939, 414148, 436693, 676988, 227528, 183236, 398447, 284982, 554306, 272379, 449149, 560827, 580824, 640239, 457322, 58773, 213438, 472396, 624075, 39202, 654777, 186463, 210576, 289719, 570479, 357542, 205413, 65939, 596772, 357116, 680391, 357767, 613311, 129272, 462060, 162675, 648867, 141760, 585675, 175514, 582749, 98832]",670,2019-09-03 11:08:26,해외 잔잔한 OST 영화 영화OST 노랫말을듣는다 영화음악 ralalra 감성적인 영화bgm
"['감성', '밤', '카페', '잔잔한', '피아노', '휴식', '힐링', '팝', '어쿠스틱']",94106,잔잔한 피아노 선율의 감성저격 POP,"[136297, 269338, 625351, 543027, 538565, 445087, 141434, 283464, 691423, 102527, 603557, 330485, 199965, 603731, 213606, 236095, 519051, 629588, 207020, 509341, 543739, 462289, 286388, 249056, 230358, 509782, 124944, 32880, 31210, 704244, 592755, 290234, 291681, 580305, 378459, 314302, 375107, 460217, 124076, 284985, 318313, 288308, 111820, 706553, 55899, 257009, 633328]",3590,2019-06-29 15:36:45,감성 밤 카페 잔잔한 피아노 휴식 힐링 팝 어쿠스틱
"['힙합', '여름', '감성', '매장음악', '여름밤', '트로피컬', '열대야', '드라이브', '맥주', '시원한']",97569,열대야. 맥주를 부르는 감성힙합.,"[442533, 115765, 374617, 130275, 347303, 635759, 329364, 688951, 232305, 679405, 92584, 181369, 15958, 609247, 221986, 695494, 89610, 339124, 672550, 199390, 46284, 311, 624738, 427256, 119210, 34548, 6701, 505036, 593084, 369922, 199824, 132689, 461341, 147405, 32906, 289625, 266201, 546794, 636116, 323484, 458639, 344931]",4676,2019-08-28 23:45:01,힙합 여름 감성 매장음악 여름밤 트로피컬 열대야 드라이브 맥주 시원한
"['중독성있는', '매장음악', '카페', '러블리쏘', '드라이브', '유명한', '매력적인', '기분전환', '팝']",10393,"익숙해서 좋아, 귓가에 맴도는 팝","[135506, 381874, 467601, 619519, 481160, 72002, 111563, 331055, 68921, 661952, 208620, 535146, 635425, 175720, 168031, 380171, 551525, 80801, 248095, 652045, 140837, 284554, 660937, 416540, 613740, 660382, 297193, 236393, 623549, 116564, 376435, 551757, 679436, 146989, 705098, 274504, 696317, 559607, 191915, 581799, 167899, 456328, 286829, 301510, 17107, 493762, 444194, 112997, 521073, 15124, 195174, 90647, 37969, 676160, 382378, 115808, 225297, 427021, 61771, 11169, 685702, 541457, 65557, 477206]",4347,2019-08-01 06:01:38,중독성있는 매장음악 카페 러블리쏘 드라이브 유명한 매력적인 기분전환 팝
"['아침', '카페', '매장', '드라이브', '기분전환', '주말', '설렘', '썸', '인디', '봄']",27898,"주말, 썸녀와 드라이브 할 때 틀어요! 호감 Up되는 Love송","[671626, 73020, 289865, 229614, 253882, 570482, 517732, 618541, 538077, 530470, 149843, 670510, 273874, 622923, 463907, 35575, 34025, 699908, 359758, 530909, 490028, 414282, 11234, 664451, 256674, 96258, 662661, 235900, 115646, 133143, 613335, 348200, 624868, 300087, 609908, 502482, 482495, 78180, 234685, 372755, 312471, 498198]",5352,2019-05-02 00:44:28,아침 카페 매장 드라이브 기분전환 주말 설렘 썸 인디 봄
